date,open,high,low,close,volume,ticker
2024-05-24 00:00:00+05:30,4433.1,4433.1,4365.1,4401.5,11293,FINEORG
2024-05-27 00:00:00+05:30,4422.9,4440.0,4323.05,4431.1,22596,FINEORG
2024-05-28 00:00:00+05:30,4420.1,4457.05,4351.25,4421.7,42657,FINEORG
2024-05-29 00:00:00+05:30,4421.6,4619.95,4382.05,4591.2,84547,FINEORG
2024-05-30 00:00:00+05:30,4550.0,4570.9,4441.2,4506.5,28280,FINEORG
2024-05-31 00:00:00+05:30,4489.0,4512.45,4405.75,4435.9,37717,FINEORG
2024-06-03 00:00:00+05:30,4550.0,4550.0,4377.0,4398.45,25981,FINEORG
2024-06-04 00:00:00+05:30,4398.45,4432.85,4230.0,4370.65,44666,FINEORG
2024-06-05 00:00:00+05:30,4370.65,4450.0,4280.0,4391.4,20279,FINEORG
2024-06-06 00:00:00+05:30,4391.0,4491.3,4361.0,4457.0,12471,FINEORG
2024-06-07 00:00:00+05:30,4482.95,4578.0,4457.05,4487.1,19865,FINEORG
2024-06-10 00:00:00+05:30,4510.0,4652.25,4487.0,4604.45,41859,FINEORG
2024-06-11 00:00:00+05:30,4629.95,4770.0,4607.2,4674.45,57054,FINEORG
2024-06-12 00:00:00+05:30,4721.2,4730.0,4601.2,4712.2,32382,FINEORG
2024-06-13 00:00:00+05:30,4691.3,4719.0,4650.05,4697.5,21249,FINEORG
2024-06-14 00:00:00+05:30,4670.05,4735.0,4662.55,4673.45,49843,FINEORG
2024-06-18 00:00:00+05:30,4673.45,4699.95,4630.05,4661.4,20729,FINEORG
2024-06-19 00:00:00+05:30,4684.75,4873.9,4642.55,4721.7,65443,FINEORG
2024-06-20 00:00:00+05:30,4749.95,4870.0,4705.45,4810.55,45994,FINEORG
2024-06-21 00:00:00+05:30,4859.0,4859.4,4720.0,4742.45,28004,FINEORG
2024-06-24 00:00:00+05:30,4742.45,4829.45,4700.0,4757.2,31440,FINEORG
2024-06-25 00:00:00+05:30,4774.0,4865.35,4770.0,4788.55,27059,FINEORG
2024-06-26 00:00:00+05:30,4788.0,4942.0,4742.1,4892.2,63274,FINEORG
2024-06-27 00:00:00+05:30,4937.0,4937.0,4832.65,4893.7,70895,FINEORG
2024-06-28 00:00:00+05:30,4895.0,4922.0,4760.0,4890.05,50476,FINEORG
2024-07-01 00:00:00+05:30,4915.0,5199.0,4914.05,5117.5,199972,FINEORG
2024-07-02 00:00:00+05:30,5157.95,5339.0,5130.55,5231.45,159852,FINEORG
2024-07-03 00:00:00+05:30,5300.0,5300.0,5143.8,5214.8,43619,FINEORG
2024-07-04 00:00:00+05:30,5224.95,5423.45,5170.05,5315.35,77560,FINEORG
2024-07-05 00:00:00+05:30,5360.5,5382.0,5242.9,5342.7,57232,FINEORG
2024-07-08 00:00:00+05:30,5342.3,5500.0,5281.0,5314.6,95184,FINEORG
2024-07-09 00:00:00+05:30,5369.3,5387.95,5288.0,5347.95,76067,FINEORG
2024-07-10 00:00:00+05:30,5439.35,5439.95,5252.6,5335.5,39325,FINEORG
2024-07-11 00:00:00+05:30,5369.0,5375.0,5291.0,5335.0,17393,FINEORG
2024-07-12 00:00:00+05:30,5389.0,5389.0,5262.95,5347.5,21128,FINEORG
2024-07-15 00:00:00+05:30,5350.0,5351.95,5226.95,5305.35,30042,FINEORG
2024-07-16 00:00:00+05:30,5347.0,5358.85,5201.0,5221.2,20770,FINEORG
2024-07-18 00:00:00+05:30,5201.0,5330.0,5164.0,5232.4,34019,FINEORG
2024-07-19 00:00:00+05:30,5231.95,5231.95,5105.1,5152.1,40592,FINEORG
2024-07-22 00:00:00+05:30,5125.0,5330.0,5050.0,5260.0,38198,FINEORG
2024-07-23 00:00:00+05:30,5248.0,5289.9,4981.35,5179.6,34571,FINEORG
2024-07-24 00:00:00+05:30,5198.95,5299.95,5176.5,5268.8,16454,FINEORG
2024-07-25 00:00:00+05:30,5248.0,5322.9,5199.65,5234.0,19085,FINEORG
2024-07-26 00:00:00+05:30,5234.0,5290.0,5175.0,5190.7,15624,FINEORG
2024-07-29 00:00:00+05:30,5200.0,5398.1,5200.0,5366.15,34287,FINEORG
2024-07-30 00:00:00+05:30,5365.95,5958.85,5285.95,5872.65,601297,FINEORG
2024-07-31 00:00:00+05:30,5800.0,5800.0,5499.95,5535.3,153428,FINEORG
2024-08-01 00:00:00+05:30,5600.0,5769.0,5491.6,5519.95,85124,FINEORG
2024-08-02 00:00:00+05:30,5547.5,5564.7,5432.3,5461.0,32169,FINEORG
2024-08-05 00:00:00+05:30,5296.35,5359.0,5164.5,5194.85,55390,FINEORG
2024-08-06 00:00:00+05:30,5155.0,5288.8,5130.0,5171.5,37427,FINEORG
2024-08-07 00:00:00+05:30,5223.3,5463.0,5124.35,5338.95,27407,FINEORG
2024-08-08 00:00:00+05:30,5322.15,5373.25,5211.5,5248.85,23668,FINEORG
2024-08-09 00:00:00+05:30,5299.75,5324.0,5211.0,5271.55,17239,FINEORG
