"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"166","Itc Limited","ITC","P&F | F.A","0.64%","422.1","85,32,755"
"65","Hdfc Bank Limited","HDFCBANK","P&F | F.A","0.63%","1995.5","72,49,084"
"128","AU Small Finance Bank","AUBANK","P&F | F.A","0.63%","810.05","21,59,391"
"171","Rural Electrification Corporation Limited","RECLTD","P&F | F.A","0.63%","401.35","31,98,569"
"220","Himachal Futuristic Communications Limited","HFCL","P&F | F.A","0.6%","82.72","55,25,369"
"202","Gail (india) Limited","GAIL","P&F | F.A","0.58%","184.71","76,80,380"
"59","Godrej Properties Limited","GODREJPROP","P&F | F.A","0.57%","2269.7","8,21,248"
"94","Icici Bank Limited","ICICIBANK","P&F | F.A","0.55%","1430.8","60,41,457"
"201","National Aluminium Company Limited","NATIONALUM","P&F | F.A","0.53%","190.48","29,94,933"
"2","Page Industries Limited","PAGEIND","P&F | F.A","0.52%","49020","12,350"
"198","The Federal Bank  Limited","FEDERALBNK","P&F | F.A","0.52%","211.67","51,49,487"
"212","Steel Authority Of India Limited","SAIL","P&F | F.A","0.51%","134.88","55,97,256"
"149","Ambuja Cements Limited","AMBUJACEM","P&F | F.A","0.5%","593.1","14,98,073"
"10","Oracle Financial Services Software Limited","OFSS","P&F | F.A","0.48%","8775","75,259"
"89","Cipla Limited","CIPLA","P&F | F.A","0.47%","1490.9","12,03,850"
"131","Indian Railway Catering & Tourism Corporation Ltd","IRCTC","P&F | F.A","0.47%","773.95","4,05,335"
"5","NIFTY","NIFTY","P&F | F.A","0.45%","25195.8","0"
"98","United Spirits Ltd","UNITDSPR","P&F | F.A","0.45%","1370.2","9,62,048"
"1","BANKNIFTY","BANKNIFTY","P&F | F.A","0.43%","57006.65","0"
"150","Kalyan Jewellers India Ltd","KALYANKJIL","P&F | F.A","0.43%","588.25","27,68,515"
"55","Hindustan Unilever Limited","HINDUNILVR","P&F | F.A","0.41%","2526.9","17,00,294"
"168","Bharat Electronics Limited","BEL","P&F | F.A","0.41%","408.95","1,19,71,127"
"160","Vedanta Limited","VEDL","P&F | F.A","0.4%","450","54,08,813"
"206","Indian Renewable Energy Development Agency Ltd","IREDA","P&F | F.A","0.4%","159.64","77,58,098"
"103","Godrej Consumer Products Limited","GODREJCP","P&F | F.A","0.39%","1271.6","8,56,686"
