datetime,date,hour,timestamp,total_stocks,sma20_breadth,sma50_breadth,volume_breadth,volume_participation,market_regime
2025-09-01 09:15:00,2025-09-01,9,2025-09-01T09:15:00,176,0.0,0.0,0.0,0.0,Bearish
2025-09-01 10:15:00,2025-09-01,10,2025-09-01T10:15:00,176,42.05,42.05,12.5,0.08,Neutral
2025-09-01 11:15:00,2025-09-01,11,2025-09-01T11:15:00,176,42.05,42.05,17.05,0.12,Neutral
2025-09-01 12:15:00,2025-09-01,12,2025-09-01T12:15:00,176,57.39,57.39,21.02,0.14,Neutral
2025-09-01 13:15:00,2025-09-01,13,2025-09-01T13:15:00,176,68.75,68.75,23.3,0.18,Bullish
2025-09-01 14:15:00,2025-09-01,14,2025-09-01T14:15:00,176,68.18,68.18,55.11,0.67,Bullish
2025-09-01 15:15:00,2025-09-01,15,2025-09-01T15:15:00,176,73.3,73.3,19.32,0.15,Bullish
2025-09-02 09:15:00,2025-09-02,9,2025-09-02T09:15:00,176,89.2,89.2,82.39,1.55,Strong Bullish
2025-09-02 10:15:00,2025-09-02,10,2025-09-02T10:15:00,176,88.64,88.64,38.64,0.43,Bullish
2025-09-02 11:15:00,2025-09-02,11,2025-09-02T11:15:00,176,86.93,86.93,27.27,0.23,Bullish
2025-09-02 12:15:00,2025-09-02,12,2025-09-02T12:15:00,176,80.68,80.68,22.16,0.19,Bullish
2025-09-02 13:15:00,2025-09-02,13,2025-09-02T13:15:00,176,58.52,58.52,39.2,0.39,Neutral
2025-09-02 14:15:00,2025-09-02,14,2025-09-02T14:15:00,176,67.05,67.05,36.36,0.38,Bullish
2025-09-02 15:15:00,2025-09-02,15,2025-09-02T15:15:00,176,67.05,67.05,13.07,0.09,Bullish
