datetime,date,hour,timestamp,total_stocks,sma20_breadth,sma50_breadth,volume_breadth,volume_participation,market_regime
2025-08-25 09:15:00,2025-08-25,9,2025-08-25T09:15:00,87,0.0,0.0,0.0,0.0,Bearish
2025-08-25 10:15:00,2025-08-25,10,2025-08-25T10:15:00,87,60.92,60.92,12.64,0.08,Bullish
2025-08-25 11:15:00,2025-08-25,11,2025-08-25T11:15:00,87,48.28,48.28,20.69,0.14,Neutral
2025-08-25 12:15:00,2025-08-25,12,2025-08-25T12:15:00,87,50.57,50.57,19.54,0.14,Neutral
2025-08-25 13:15:00,2025-08-25,13,2025-08-25T13:15:00,87,51.72,51.72,19.54,0.14,Neutral
2025-08-25 14:15:00,2025-08-25,14,2025-08-25T14:15:00,87,27.59,27.59,44.83,0.5,Bearish
2025-08-25 15:15:00,2025-08-25,15,2025-08-25T15:15:00,87,24.14,24.14,16.09,0.11,Bearish
2025-08-26 09:15:00,2025-08-26,9,2025-08-26T09:15:00,87,8.05,8.05,87.36,1.67,Bearish
2025-08-26 10:15:00,2025-08-26,10,2025-08-26T10:15:00,87,11.49,11.49,24.14,0.2,Bearish
2025-08-26 11:15:00,2025-08-26,11,2025-08-26T11:15:00,87,14.94,14.94,13.79,0.09,Bearish
2025-08-26 12:15:00,2025-08-26,12,2025-08-26T12:15:00,87,13.79,13.79,12.64,0.08,Bearish
2025-08-26 13:15:00,2025-08-26,13,2025-08-26T13:15:00,87,11.49,11.49,20.69,0.13,Bearish
2025-08-26 14:15:00,2025-08-26,14,2025-08-26T14:15:00,87,9.2,9.2,70.11,1.16,Bearish
2025-08-26 15:15:00,2025-08-26,15,2025-08-26T15:15:00,87,9.2,9.2,42.53,0.44,Bearish
