datetime,date,hour,timestamp,total_stocks,sma20_breadth,sma50_breadth,volume_breadth,volume_participation,market_regime
2025-09-03 09:15:00,2025-09-03,9,2025-09-03T09:15:00,175,0.0,0.0,0.0,0.0,Bearish
2025-09-03 10:15:00,2025-09-03,10,2025-09-03T10:15:00,175,36.57,36.57,19.43,0.15,Weak
2025-09-03 11:15:00,2025-09-03,11,2025-09-03T11:15:00,175,49.14,49.14,21.14,0.15,Neutral
2025-09-03 12:15:00,2025-09-03,12,2025-09-03T12:15:00,175,44.0,44.0,20.0,0.15,Neutral
2025-09-03 13:15:00,2025-09-03,13,2025-09-03T13:15:00,175,49.71,49.71,13.71,0.09,Neutral
2025-09-03 14:15:00,2025-09-03,14,2025-09-03T14:15:00,175,55.43,55.43,49.71,0.57,Neutral
2025-09-03 15:15:00,2025-09-03,15,2025-09-03T15:15:00,175,57.14,57.14,16.0,0.12,Neutral
2025-09-04 09:15:00,2025-09-04,9,2025-09-04T09:15:00,175,52.0,52.0,82.86,1.61,Neutral
2025-09-04 10:15:00,2025-09-04,10,2025-09-04T10:15:00,175,44.57,44.57,25.14,0.22,Neutral
2025-09-04 11:15:00,2025-09-04,11,2025-09-04T11:15:00,175,38.29,38.29,15.43,0.1,Weak
2025-09-04 12:15:00,2025-09-04,12,2025-09-04T12:15:00,175,36.0,36.0,8.0,0.04,Weak
2025-09-04 13:15:00,2025-09-04,13,2025-09-04T13:15:00,175,30.29,30.29,13.71,0.08,Weak
2025-09-04 14:15:00,2025-09-04,14,2025-09-04T14:15:00,175,20.0,20.0,49.14,0.54,Bearish
2025-09-04 15:15:00,2025-09-04,15,2025-09-04T15:15:00,175,20.57,20.57,14.86,0.1,Bearish
