datetime,date,hour,timestamp,total_stocks,sma20_breadth,sma50_breadth,volume_breadth,volume_participation,market_regime
2025-08-28 09:15:00,2025-08-28,9,2025-08-28T09:15:00,84,0.0,0.0,0.0,0.0,Bearish
2025-08-28 10:15:00,2025-08-28,10,2025-08-28T10:15:00,84,55.95,55.95,10.71,0.07,Neutral
2025-08-28 11:15:00,2025-08-28,11,2025-08-28T11:15:00,84,25.0,25.0,7.14,0.04,Bearish
2025-08-28 12:15:00,2025-08-28,12,2025-08-28T12:15:00,84,11.9,11.9,7.14,0.04,Bearish
2025-08-28 13:15:00,2025-08-28,13,2025-08-28T13:15:00,84,11.9,11.9,11.9,0.08,Bearish
2025-08-28 14:15:00,2025-08-28,14,2025-08-28T14:15:00,84,7.14,7.14,59.52,0.69,Bearish
2025-08-28 15:15:00,2025-08-28,15,2025-08-28T15:15:00,84,4.76,4.76,10.71,0.08,Bearish
2025-08-29 09:15:00,2025-08-29,9,2025-08-29T09:15:00,84,13.1,13.1,82.14,1.35,Bearish
2025-08-29 10:15:00,2025-08-29,10,2025-08-29T10:15:00,84,47.62,47.62,34.52,0.34,Neutral
2025-08-29 11:15:00,2025-08-29,11,2025-08-29T11:15:00,84,57.14,57.14,3.57,0.01,Neutral
