datetime,date,hour,timestamp,total_stocks,sma20_breadth,sma50_breadth,volume_breadth,volume_participation,market_regime
2025-07-31 09:15:00,2025-07-31,9,2025-07-31T09:15:00,87,31.03,31.03,87.36,1.95,Weak
2025-07-31 10:15:00,2025-07-31,10,2025-07-31T10:15:00,87,42.53,37.93,35.63,0.36,Neutral
2025-07-31 11:15:00,2025-07-31,11,2025-07-31T11:15:00,87,42.53,41.38,27.59,0.25,Neutral
2025-07-31 12:15:00,2025-07-31,12,2025-07-31T12:15:00,87,49.43,45.98,31.03,0.29,Neutral
2025-07-31 13:15:00,2025-07-31,13,2025-07-31T13:15:00,87,48.28,47.13,29.89,0.26,Neutral
2025-07-31 14:15:00,2025-07-31,14,2025-07-31T14:15:00,87,33.33,34.48,50.57,0.64,Weak
2025-07-31 15:15:00,2025-07-31,15,2025-07-31T15:15:00,87,31.03,34.48,22.99,0.17,Weak
2025-08-01 09:15:00,2025-08-01,9,2025-08-01T09:15:00,87,25.29,28.74,78.16,1.47,Bearish
2025-08-01 10:15:00,2025-08-01,10,2025-08-01T10:15:00,87,24.14,31.03,25.29,0.23,Bearish
2025-08-01 11:15:00,2025-08-01,11,2025-08-01T11:15:00,87,18.39,22.99,13.79,0.09,Bearish
2025-08-01 12:15:00,2025-08-01,12,2025-08-01T12:15:00,87,21.84,22.99,17.24,0.12,Bearish
2025-08-01 13:15:00,2025-08-01,13,2025-08-01T13:15:00,87,17.24,19.54,17.24,0.13,Bearish
2025-08-01 14:15:00,2025-08-01,14,2025-08-01T14:15:00,87,12.64,14.94,60.92,0.77,Bearish
2025-08-01 15:15:00,2025-08-01,15,2025-08-01T15:15:00,87,9.2,16.09,24.14,0.2,Bearish
2025-08-04 09:15:00,2025-08-04,9,2025-08-04T09:15:00,87,11.49,17.24,81.61,1.63,Bearish
2025-08-04 10:15:00,2025-08-04,10,2025-08-04T10:15:00,87,16.09,17.24,28.74,0.25,Bearish
2025-08-04 11:15:00,2025-08-04,11,2025-08-04T11:15:00,87,21.84,24.14,17.24,0.11,Bearish
2025-08-04 12:15:00,2025-08-04,12,2025-08-04T12:15:00,87,32.18,29.89,20.69,0.14,Weak
2025-08-04 13:15:00,2025-08-04,13,2025-08-04T13:15:00,87,41.38,32.18,20.69,0.16,Neutral
2025-08-04 14:15:00,2025-08-04,14,2025-08-04T14:15:00,87,45.98,36.78,44.83,0.49,Neutral
2025-08-04 15:15:00,2025-08-04,15,2025-08-04T15:15:00,87,45.98,39.08,20.69,0.15,Neutral
2025-08-05 09:15:00,2025-08-05,9,2025-08-05T09:15:00,87,36.78,36.78,77.01,1.51,Weak
2025-08-05 10:15:00,2025-08-05,10,2025-08-05T10:15:00,87,39.08,33.33,17.24,0.16,Weak
2025-08-05 11:15:00,2025-08-05,11,2025-08-05T11:15:00,87,42.53,37.93,14.94,0.1,Neutral
2025-08-05 12:15:00,2025-08-05,12,2025-08-05T12:15:00,87,41.38,32.18,16.09,0.1,Neutral
2025-08-05 13:15:00,2025-08-05,13,2025-08-05T13:15:00,87,35.63,29.89,26.44,0.21,Weak
2025-08-05 14:15:00,2025-08-05,14,2025-08-05T14:15:00,87,41.38,31.03,37.93,0.39,Neutral
2025-08-05 15:15:00,2025-08-05,15,2025-08-05T15:15:00,87,40.23,29.89,12.64,0.09,Neutral
2025-08-06 09:15:00,2025-08-06,9,2025-08-06T09:15:00,87,18.39,16.09,79.31,1.61,Bearish
2025-08-06 10:15:00,2025-08-06,10,2025-08-06T10:15:00,87,16.09,13.79,37.93,0.4,Bearish
2025-08-06 11:15:00,2025-08-06,11,2025-08-06T11:15:00,87,20.69,19.54,27.59,0.25,Bearish
2025-08-06 12:15:00,2025-08-06,12,2025-08-06T12:15:00,87,21.84,21.84,24.14,0.2,Bearish
2025-08-06 13:15:00,2025-08-06,13,2025-08-06T13:15:00,87,20.69,22.99,17.24,0.12,Bearish
2025-08-06 14:15:00,2025-08-06,14,2025-08-06T14:15:00,87,14.94,21.84,48.28,0.54,Bearish
2025-08-06 15:15:00,2025-08-06,15,2025-08-06T15:15:00,87,19.54,21.84,14.94,0.1,Bearish
2025-08-07 09:15:00,2025-08-07,9,2025-08-07T09:15:00,87,22.99,19.54,80.46,1.56,Bearish
2025-08-07 10:15:00,2025-08-07,10,2025-08-07T10:15:00,87,18.39,14.94,28.74,0.26,Bearish
2025-08-07 11:15:00,2025-08-07,11,2025-08-07T11:15:00,87,20.69,16.09,20.69,0.16,Bearish
2025-08-07 12:15:00,2025-08-07,12,2025-08-07T12:15:00,87,10.34,12.64,16.09,0.11,Bearish
2025-08-07 13:15:00,2025-08-07,13,2025-08-07T13:15:00,87,19.54,14.94,34.48,0.33,Bearish
2025-08-07 14:15:00,2025-08-07,14,2025-08-07T14:15:00,87,42.53,31.03,70.11,1.0,Neutral
2025-08-07 15:15:00,2025-08-07,15,2025-08-07T15:15:00,87,49.43,29.89,19.54,0.15,Neutral
2025-08-08 09:15:00,2025-08-08,9,2025-08-08T09:15:00,87,42.53,31.03,79.31,1.55,Neutral
2025-08-08 10:15:00,2025-08-08,10,2025-08-08T10:15:00,87,44.83,31.03,24.14,0.22,Neutral
2025-08-08 11:15:00,2025-08-08,11,2025-08-08T11:15:00,87,49.43,32.18,19.54,0.14,Neutral
2025-08-08 12:15:00,2025-08-08,12,2025-08-08T12:15:00,87,47.13,31.03,17.24,0.14,Neutral
