datetime,date,hour,timestamp,total_stocks,sma20_breadth,sma50_breadth,volume_breadth,volume_participation,market_regime
2025-09-02 09:15:00,2025-09-02,9,2025-09-02T09:15:00,176,0.0,0.0,0.0,0.0,Bearish
2025-09-02 10:15:00,2025-09-02,10,2025-09-02T10:15:00,176,60.23,60.23,14.77,0.11,Bullish
2025-09-02 11:15:00,2025-09-02,11,2025-09-02T11:15:00,176,57.95,57.95,19.32,0.13,Neutral
2025-09-02 12:15:00,2025-09-02,12,2025-09-02T12:15:00,176,47.16,47.16,15.34,0.11,Neutral
2025-09-02 13:15:00,2025-09-02,13,2025-09-02T13:15:00,176,15.91,15.91,27.84,0.25,Bearish
2025-09-02 14:15:00,2025-09-02,14,2025-09-02T14:15:00,176,29.55,29.55,31.25,0.3,Bearish
2025-09-02 15:15:00,2025-09-02,15,2025-09-02T15:15:00,176,32.39,32.39,10.23,0.07,Weak
2025-09-03 09:15:00,2025-09-03,9,2025-09-03T09:15:00,176,76.14,76.14,70.45,1.09,Strong Bullish
2025-09-03 10:15:00,2025-09-03,10,2025-09-03T10:15:00,176,63.64,63.64,32.39,0.31,Bullish
2025-09-03 11:15:00,2025-09-03,11,2025-09-03T11:15:00,176,66.48,66.48,27.27,0.22,Bullish
2025-09-03 12:15:00,2025-09-03,12,2025-09-03T12:15:00,176,63.07,63.07,22.73,0.18,Bullish
2025-09-03 13:15:00,2025-09-03,13,2025-09-03T13:15:00,176,63.64,63.64,13.07,0.08,Bullish
2025-09-03 14:15:00,2025-09-03,14,2025-09-03T14:15:00,176,65.91,65.91,44.89,0.51,Bullish
2025-09-03 15:15:00,2025-09-03,15,2025-09-03T15:15:00,176,69.32,69.32,14.2,0.1,Bullish
