datetime,date,hour,timestamp,total_stocks,sma20_breadth,sma50_breadth,volume_breadth,volume_participation,market_regime
2025-08-04 09:15:00,2025-08-04,9,2025-08-04T09:15:00,87,0.0,0.0,0.0,0.0,Bearish
2025-08-04 10:15:00,2025-08-04,10,2025-08-04T10:15:00,87,44.83,44.83,5.75,0.03,Neutral
2025-08-04 11:15:00,2025-08-04,11,2025-08-04T11:15:00,87,62.07,62.07,10.34,0.06,Bullish
2025-08-04 12:15:00,2025-08-04,12,2025-08-04T12:15:00,87,71.26,71.26,11.49,0.08,Bullish
2025-08-04 13:15:00,2025-08-04,13,2025-08-04T13:15:00,87,74.71,74.71,21.84,0.16,Bullish
2025-08-04 14:15:00,2025-08-04,14,2025-08-04T14:15:00,87,80.46,80.46,57.47,0.65,Bullish
2025-08-04 15:15:00,2025-08-04,15,2025-08-04T15:15:00,87,80.46,80.46,16.09,0.12,Bullish
2025-08-05 09:15:00,2025-08-05,9,2025-08-05T09:15:00,87,44.83,44.83,78.16,1.41,Neutral
2025-08-05 10:15:00,2025-08-05,10,2025-08-05T10:15:00,87,48.28,48.28,20.69,0.18,Neutral
2025-08-05 11:15:00,2025-08-05,11,2025-08-05T11:15:00,87,49.43,49.43,18.39,0.12,Neutral
2025-08-05 12:15:00,2025-08-05,12,2025-08-05T12:15:00,87,45.98,45.98,14.94,0.09,Neutral
2025-08-05 13:15:00,2025-08-05,13,2025-08-05T13:15:00,87,34.48,34.48,24.14,0.19,Weak
2025-08-05 14:15:00,2025-08-05,14,2025-08-05T14:15:00,87,42.53,42.53,44.83,0.47,Neutral
2025-08-05 15:15:00,2025-08-05,15,2025-08-05T15:15:00,87,37.93,37.93,9.2,0.06,Weak
2025-08-06 09:15:00,2025-08-06,9,2025-08-06T09:15:00,87,12.64,12.64,82.76,1.62,Bearish
2025-08-06 10:15:00,2025-08-06,10,2025-08-06T10:15:00,87,10.34,10.34,39.08,0.41,Bearish
2025-08-06 11:15:00,2025-08-06,11,2025-08-06T11:15:00,87,17.24,17.24,33.33,0.3,Bearish
2025-08-06 12:15:00,2025-08-06,12,2025-08-06T12:15:00,87,20.69,20.69,25.29,0.22,Bearish
2025-08-06 13:15:00,2025-08-06,13,2025-08-06T13:15:00,87,17.24,17.24,17.24,0.12,Bearish
2025-08-06 14:15:00,2025-08-06,14,2025-08-06T14:15:00,87,14.94,14.94,48.28,0.54,Bearish
2025-08-06 15:15:00,2025-08-06,15,2025-08-06T15:15:00,87,19.54,19.54,14.94,0.1,Bearish
2025-08-07 09:15:00,2025-08-07,9,2025-08-07T09:15:00,87,22.99,25.29,80.46,1.56,Bearish
2025-08-07 10:15:00,2025-08-07,10,2025-08-07T10:15:00,87,18.39,18.39,28.74,0.26,Bearish
2025-08-07 11:15:00,2025-08-07,11,2025-08-07T11:15:00,87,20.69,19.54,20.69,0.16,Bearish
2025-08-07 12:15:00,2025-08-07,12,2025-08-07T12:15:00,87,10.34,14.94,16.09,0.11,Bearish
2025-08-07 13:15:00,2025-08-07,13,2025-08-07T13:15:00,87,19.54,18.39,34.48,0.33,Bearish
2025-08-07 14:15:00,2025-08-07,14,2025-08-07T14:15:00,87,42.53,40.23,70.11,1.0,Neutral
2025-08-07 15:15:00,2025-08-07,15,2025-08-07T15:15:00,87,49.43,39.08,19.54,0.15,Neutral
2025-08-08 09:15:00,2025-08-08,9,2025-08-08T09:15:00,87,42.53,34.48,79.31,1.55,Neutral
2025-08-08 10:15:00,2025-08-08,10,2025-08-08T10:15:00,87,44.83,40.23,24.14,0.22,Neutral
2025-08-08 11:15:00,2025-08-08,11,2025-08-08T11:15:00,87,49.43,37.93,19.54,0.14,Neutral
2025-08-08 12:15:00,2025-08-08,12,2025-08-08T12:15:00,87,47.13,41.38,17.24,0.14,Neutral
2025-08-08 13:15:00,2025-08-08,13,2025-08-08T13:15:00,87,48.28,37.93,14.94,0.11,Neutral
2025-08-08 14:15:00,2025-08-08,14,2025-08-08T14:15:00,87,41.38,28.74,48.28,0.53,Neutral
2025-08-08 15:15:00,2025-08-08,15,2025-08-08T15:15:00,87,32.18,21.84,21.84,0.18,Weak
2025-08-11 09:15:00,2025-08-11,9,2025-08-11T09:15:00,87,32.18,25.29,75.86,1.83,Weak
2025-08-11 10:15:00,2025-08-11,10,2025-08-11T10:15:00,87,42.53,32.18,37.93,0.44,Neutral
2025-08-11 11:15:00,2025-08-11,11,2025-08-11T11:15:00,87,35.63,29.89,26.44,0.25,Weak
2025-08-11 12:15:00,2025-08-11,12,2025-08-11T12:15:00,87,44.83,39.08,19.54,0.15,Neutral
2025-08-11 13:15:00,2025-08-11,13,2025-08-11T13:15:00,87,55.17,35.63,18.39,0.17,Neutral
2025-08-11 14:15:00,2025-08-11,14,2025-08-11T14:15:00,87,57.47,40.23,42.53,0.53,Neutral
2025-08-11 15:15:00,2025-08-11,15,2025-08-11T15:15:00,87,58.62,37.93,18.39,0.13,Neutral
2025-08-12 09:15:00,2025-08-12,9,2025-08-12T09:15:00,87,68.97,48.28,75.86,1.25,Bullish
2025-08-12 10:15:00,2025-08-12,10,2025-08-12T10:15:00,87,62.07,44.83,31.03,0.28,Bullish
2025-08-12 11:15:00,2025-08-12,11,2025-08-12T11:15:00,87,60.92,49.43,19.54,0.14,Bullish
2025-08-12 12:15:00,2025-08-12,12,2025-08-12T12:15:00,87,64.37,49.43,19.54,0.12,Bullish
2025-08-12 13:15:00,2025-08-12,13,2025-08-12T13:15:00,87,57.47,48.28,28.74,0.24,Neutral
2025-08-12 14:15:00,2025-08-12,14,2025-08-12T14:15:00,87,50.57,45.98,36.78,0.37,Neutral
2025-08-12 15:15:00,2025-08-12,15,2025-08-12T15:15:00,87,50.57,44.83,13.79,0.1,Neutral
2025-08-13 09:15:00,2025-08-13,9,2025-08-13T09:15:00,87,58.62,49.43,75.86,1.93,Neutral
2025-08-13 10:15:00,2025-08-13,10,2025-08-13T10:15:00,87,56.32,48.28,40.23,0.54,Neutral
2025-08-13 11:15:00,2025-08-13,11,2025-08-13T11:15:00,87,50.57,43.68,28.74,0.24,Neutral
2025-08-13 12:15:00,2025-08-13,12,2025-08-13T12:15:00,87,52.87,47.13,18.39,0.15,Neutral
2025-08-13 13:15:00,2025-08-13,13,2025-08-13T13:15:00,87,55.17,50.57,19.54,0.16,Neutral
2025-08-13 14:15:00,2025-08-13,14,2025-08-13T14:15:00,87,51.72,47.13,42.53,0.47,Neutral
2025-08-13 15:15:00,2025-08-13,15,2025-08-13T15:15:00,87,48.28,47.13,19.54,0.15,Neutral
2025-08-14 09:15:00,2025-08-14,9,2025-08-14T09:15:00,87,40.23,44.83,80.46,1.64,Neutral
2025-08-14 10:15:00,2025-08-14,10,2025-08-14T10:15:00,87,33.33,41.38,25.29,0.22,Weak
2025-08-14 11:15:00,2025-08-14,11,2025-08-14T11:15:00,87,32.18,43.68,19.54,0.14,Weak
2025-08-14 12:15:00,2025-08-14,12,2025-08-14T12:15:00,87,33.33,42.53,10.34,0.06,Weak
2025-08-14 13:15:00,2025-08-14,13,2025-08-14T13:15:00,87,32.18,42.53,17.24,0.11,Weak
2025-08-14 14:15:00,2025-08-14,14,2025-08-14T14:15:00,87,32.18,43.68,45.98,0.52,Weak
2025-08-14 15:15:00,2025-08-14,15,2025-08-14T15:15:00,87,33.33,42.53,20.69,0.17,Weak
2025-08-18 09:15:00,2025-08-18,9,2025-08-18T09:15:00,87,62.07,59.77,88.51,2.44,Bullish
2025-08-18 10:15:00,2025-08-18,10,2025-08-18T10:15:00,87,62.07,59.77,44.83,0.52,Bullish
2025-08-18 11:15:00,2025-08-18,11,2025-08-18T11:15:00,87,48.28,52.87,26.44,0.25,Neutral
2025-08-18 12:15:00,2025-08-18,12,2025-08-18T12:15:00,87,58.62,54.02,18.39,0.12,Neutral
2025-08-18 13:15:00,2025-08-18,13,2025-08-18T13:15:00,87,60.92,56.32,16.09,0.11,Bullish
2025-08-18 14:15:00,2025-08-18,14,2025-08-18T14:15:00,87,63.22,55.17,43.68,0.47,Bullish
2025-08-18 15:15:00,2025-08-18,15,2025-08-18T15:15:00,87,67.82,56.32,12.64,0.09,Bullish
2025-08-19 09:15:00,2025-08-19,9,2025-08-19T09:15:00,87,70.11,64.37,71.26,1.17,Strong Bullish
2025-08-19 10:15:00,2025-08-19,10,2025-08-19T10:15:00,87,79.31,73.56,39.08,0.45,Bullish
2025-08-19 11:15:00,2025-08-19,11,2025-08-19T11:15:00,87,78.16,73.56,27.59,0.27,Bullish
2025-08-19 12:15:00,2025-08-19,12,2025-08-19T12:15:00,87,75.86,73.56,17.24,0.14,Bullish
2025-08-19 13:15:00,2025-08-19,13,2025-08-19T13:15:00,87,74.71,72.41,20.69,0.16,Bullish
2025-08-19 14:15:00,2025-08-19,14,2025-08-19T14:15:00,87,82.76,78.16,51.72,0.6,Bullish
2025-08-19 15:15:00,2025-08-19,15,2025-08-19T15:15:00,87,82.76,79.31,20.69,0.16,Bullish
2025-08-20 09:15:00,2025-08-20,9,2025-08-20T09:15:00,87,87.36,85.06,68.97,1.18,Strong Bullish
2025-08-20 10:15:00,2025-08-20,10,2025-08-20T10:15:00,87,83.91,82.76,32.18,0.29,Bullish
